Year,Quarter,Period,Region,Condition,Referrals,Avg_Wait_Weeks,Inpatient_Count,Bed_Days,Treatment_Completion_Rate,Staff_Vacancy_Rate,Year_Quarter_Num
2019,Q3,2019 Q3,London,Depression,1786,2.5,240,6750,0.708,0.082,2019.5
2019,Q3,2019 Q3,London,Anxiety Disorders,1568,4.3,212,6422,0.733,0.073,2019.5
2019,Q3,2019 Q3,London,Bipolar Disorder,404,7.8,48,1822,0.759,0.092,2019.5
2019,Q3,2019 Q3,London,Schizophrenia/Psychosis,289,3.8,37,794,0.673,0.083,2019.5
2019,Q3,2019 Q3,London,PTSD,639,5.6,84,2909,0.681,0.094,2019.5
2019,Q3,2019 Q3,London,Eating Disorders,346,9.7,37,904,0.693,0.089,2019.5
2019,Q3,2019 Q3,London,Personality Disorders,508,10.0,61,2200,0.695,0.074,2019.5
2019,Q3,2019 Q3,London,ADHD,699,6.9,81,2809,0.716,0.098,2019.5
2019,Q3,2019 Q3,South East,Depression,1106,7.0,137,6733,0.672,0.095,2019.5
2019,Q3,2019 Q3,South East,Anxiety Disorders,1073,11.0,145,4744,0.741,0.066,2019.5
2019,Q3,2019 Q3,South East,Bipolar Disorder,296,3.1,38,1637,0.763,0.097,2019.5
2019,Q3,2019 Q3,South East,Schizophrenia/Psychosis,207,12.8,24,772,0.675,0.073,2019.5
2019,Q3,2019 Q3,South East,PTSD,438,8.6,59,556,0.705,0.074,2019.5
2019,Q3,2019 Q3,South East,Eating Disorders,260,2.7,30,777,0.684,0.067,2019.5
2019,Q3,2019 Q3,South East,Personality Disorders,334,8.5,38,1016,0.728,0.085,2019.5
2019,Q3,2019 Q3,South East,ADHD,463,4.0,63,2024,0.685,0.077,2019.5
2019,Q3,2019 Q3,South West,Depression,729,6.0,89,2604,0.677,0.09,2019.5
2019,Q3,2019 Q3,South West,Anxiety Disorders,638,5.7,69,2017,0.674,0.079,2019.5
2019,Q3,2019 Q3,South West,Bipolar Disorder,197,9.5,23,154,0.71,0.082,2019.5
2019,Q3,2019 Q3,South West,Schizophrenia/Psychosis,131,6.7,17,441,0.707,0.071,2019.5
2019,Q3,2019 Q3,South West,PTSD,285,5.1,30,823,0.742,0.086,2019.5
2019,Q3,2019 Q3,South West,Eating Disorders,154,4.2,19,421,0.672,0.064,2019.5
2019,Q3,2019 Q3,South West,Personality Disorders,233,7.3,25,489,0.68,0.07,2019.5
2019,Q3,2019 Q3,South West,ADHD,346,6.6,40,1200,0.737,0.068,2019.5
2019,Q3,2019 Q3,Midlands,Depression,1359,1.8,182,7665,0.752,0.074,2019.5
2019,Q3,2019 Q3,Midlands,Anxiety Disorders,1158,9.3,129,1802,0.732,0.076,2019.5
2019,Q3,2019 Q3,Midlands,Bipolar Disorder,354,1.6,48,1134,0.746,0.066,2019.5
2019,Q3,2019 Q3,Midlands,Schizophrenia/Psychosis,265,8.4,34,943,0.713,0.061,2019.5
2019,Q3,2019 Q3,Midlands,PTSD,483,11.4,53,1769,0.684,0.093,2019.5
2019,Q3,2019 Q3,Midlands,Eating Disorders,324,2.8,36,1037,0.672,0.097,2019.5
2019,Q3,2019 Q3,Midlands,Personality Disorders,377,1.9,45,1458,0.735,0.093,2019.5
2019,Q3,2019 Q3,Midlands,ADHD,574,10.1,72,2920,0.688,0.097,2019.5
2019,Q3,2019 Q3,North West,Depression,1079,7.0,111,1003,0.687,0.09,2019.5
2019,Q3,2019 Q3,North West,Anxiety Disorders,874,2.4,101,3297,0.699,0.074,2019.5
2019,Q3,2019 Q3,North West,Bipolar Disorder,283,7.4,33,461,0.736,0.097,2019.5
2019,Q3,2019 Q3,North West,Schizophrenia/Psychosis,202,7.5,20,316,0.72,0.084,2019.5
2019,Q3,2019 Q3,North West,PTSD,380,5.1,39,1167,0.743,0.08,2019.5
2019,Q3,2019 Q3,North West,Eating Disorders,241,2.1,31,768,0.75,0.088,2019.5
2019,Q3,2019 Q3,North West,Personality Disorders,301,1.6,31,1151,0.762,0.065,2019.5
2019,Q3,2019 Q3,North West,ADHD,502,2.7,60,1571,0.757,0.089,2019.5
2019,Q3,2019 Q3,North East & Yorkshire,Depression,1065,9.2,141,5146,0.695,0.08,2019.5
2019,Q3,2019 Q3,North East & Yorkshire,Anxiety Disorders,831,8.0,85,2471,0.74,0.072,2019.5
2019,Q3,2019 Q3,North East & Yorkshire,Bipolar Disorder,271,8.8,35,957,0.702,0.093,2019.5
2019,Q3,2019 Q3,North East & Yorkshire,Schizophrenia/Psychosis,167,2.5,17,544,0.678,0.088,2019.5
2019,Q3,2019 Q3,North East & Yorkshire,PTSD,353,5.3,40,1163,0.724,0.092,2019.5
2019,Q3,2019 Q3,North East & Yorkshire,Eating Disorders,211,8.2,26,786,0.693,0.061,2019.5
2019,Q3,2019 Q3,North East & Yorkshire,Personality Disorders,307,7.8,40,1135,0.77,0.074,2019.5
2019,Q3,2019 Q3,North East & Yorkshire,ADHD,453,4.7,56,454,0.757,0.099,2019.5
2019,Q3,2019 Q3,East of England,Depression,651,1.8,83,1156,0.694,0.064,2019.5
2019,Q3,2019 Q3,East of England,Anxiety Disorders,523,3.5,57,1116,0.674,0.061,2019.5
2019,Q3,2019 Q3,East of England,Bipolar Disorder,168,1.2,21,385,0.692,0.098,2019.5
2019,Q3,2019 Q3,East of England,Schizophrenia/Psychosis,116,5.6,15,320,0.764,0.079,2019.5
2019,Q3,2019 Q3,East of England,PTSD,227,8.9,27,1106,0.693,0.067,2019.5
2019,Q3,2019 Q3,East of England,Eating Disorders,127,7.4,14,322,0.676,0.099,2019.5
2019,Q3,2019 Q3,East of England,Personality Disorders,189,5.1,24,446,0.74,0.066,2019.5
2019,Q3,2019 Q3,East of England,ADHD,281,4.2,34,760,0.729,0.083,2019.5
2019,Q4,2019 Q4,London,Depression,1899,5.6,202,6599,0.759,0.098,2019.75
2019,Q4,2019 Q4,London,Anxiety Disorders,1843,7.9,224,8213,0.679,0.076,2019.75
2019,Q4,2019 Q4,London,Bipolar Disorder,497,8.7,59,1203,0.678,0.069,2019.75
2019,Q4,2019 Q4,London,Schizophrenia/Psychosis,373,1.0,46,967,0.752,0.074,2019.75
2019,Q4,2019 Q4,London,PTSD,746,2.4,99,3138,0.75,0.086,2019.75
2019,Q4,2019 Q4,London,Eating Disorders,460,7.5,60,2023,0.74,0.087,2019.75
2019,Q4,2019 Q4,London,Personality Disorders,591,4.9,79,2515,0.757,0.061,2019.75
2019,Q4,2019 Q4,London,ADHD,916,5.6,117,2495,0.686,0.093,2019.75
2019,Q4,2019 Q4,South East,Depression,1459,5.9,163,4568,0.732,0.099,2019.75
2019,Q4,2019 Q4,South East,Anxiety Disorders,1213,8.4,147,2528,0.748,0.064,2019.75
2019,Q4,2019 Q4,South East,Bipolar Disorder,360,7.8,41,1163,0.733,0.097,2019.75
2019,Q4,2019 Q4,South East,Schizophrenia/Psychosis,231,6.9,24,750,0.7,0.088,2019.75
2019,Q4,2019 Q4,South East,PTSD,460,2.0,57,2036,0.675,0.095,2019.75
2019,Q4,2019 Q4,South East,Eating Disorders,319,7.4,32,761,0.672,0.073,2019.75
2019,Q4,2019 Q4,South East,Personality Disorders,395,8.3,46,1685,0.697,0.1,2019.75
2019,Q4,2019 Q4,South East,ADHD,586,3.4,76,2019,0.739,0.069,2019.75
2019,Q4,2019 Q4,South West,Depression,862,8.8,96,3694,0.765,0.066,2019.75
2019,Q4,2019 Q4,South West,Anxiety Disorders,783,5.7,97,3207,0.71,0.071,2019.75
2019,Q4,2019 Q4,South West,Bipolar Disorder,248,8.2,27,711,0.691,0.061,2019.75
2019,Q4,2019 Q4,South West,Schizophrenia/Psychosis,169,8.4,20,505,0.767,0.067,2019.75
2019,Q4,2019 Q4,South West,PTSD,349,7.8,46,1553,0.746,0.085,2019.75
2019,Q4,2019 Q4,South West,Eating Disorders,186,9.1,22,702,0.682,0.065,2019.75
2019,Q4,2019 Q4,South West,Personality Disorders,271,2.6,32,815,0.676,0.083,2019.75
2019,Q4,2019 Q4,South West,ADHD,381,4.4,45,1618,0.671,0.063,2019.75
2019,Q4,2019 Q4,Midlands,Depression,1634,12.2,183,4398,0.739,0.094,2019.75
2019,Q4,2019 Q4,Midlands,Anxiety Disorders,1489,5.9,157,3678,0.694,0.099,2019.75
2019,Q4,2019 Q4,Midlands,Bipolar Disorder,392,12.0,49,1363,0.726,0.06,2019.75
2019,Q4,2019 Q4,Midlands,Schizophrenia/Psychosis,288,3.8,33,933,0.673,0.063,2019.75
2019,Q4,2019 Q4,Midlands,PTSD,584,6.5,74,1442,0.75,0.068,2019.75
2019,Q4,2019 Q4,Midlands,Eating Disorders,337,6.7,42,907,0.673,0.097,2019.75
2019,Q4,2019 Q4,Midlands,Personality Disorders,441,10.5,58,1790,0.741,0.092,2019.75
2019,Q4,2019 Q4,Midlands,ADHD,694,6.3,91,3239,0.715,0.086,2019.75
2019,Q4,2019 Q4,North West,Depression,1299,5.1,135,4000,0.695,0.066,2019.75
2019,Q4,2019 Q4,North West,Anxiety Disorders,1174,3.4,153,3636,0.736,0.08,2019.75
2019,Q4,2019 Q4,North West,Bipolar Disorder,326,3.7,44,1497,0.767,0.086,2019.75
2019,Q4,2019 Q4,North West,Schizophrenia/Psychosis,219,4.7,22,653,0.696,0.079,2019.75
2019,Q4,2019 Q4,North West,PTSD,489,8.3,57,1994,0.705,0.075,2019.75
2019,Q4,2019 Q4,North West,Eating Disorders,298,2.1,38,1672,0.719,0.095,2019.75
2019,Q4,2019 Q4,North West,Personality Disorders,393,1.9,48,1124,0.761,0.068,2019.75
2019,Q4,2019 Q4,North West,ADHD,565,9.4,60,2052,0.742,0.096,2019.75
2019,Q4,2019 Q4,North East & Yorkshire,Depression,1139,6.8,136,3490,0.695,0.095,2019.75
2019,Q4,2019 Q4,North East & Yorkshire,Anxiety Disorders,1020,1.0,125,3735,0.686,0.076,2019.75
2019,Q4,2019 Q4,North East & Yorkshire,Bipolar Disorder,322,8.0,36,649,0.747,0.065,2019.75
2019,Q4,2019 Q4,North East & Yorkshire,Schizophrenia/Psychosis,230,2.1,24,619,0.687,0.081,2019.75
2019,Q4,2019 Q4,North East & Yorkshire,PTSD,417,5.4,46,1741,0.732,0.088,2019.75
2019,Q4,2019 Q4,North East & Yorkshire,Eating Disorders,243,8.1,28,1057,0.754,0.092,2019.75
2019,Q4,2019 Q4,North East & Yorkshire,Personality Disorders,347,5.2,36,1117,0.697,0.062,2019.75
2019,Q4,2019 Q4,North East & Yorkshire,ADHD,517,5.7,70,1380,0.702,0.08,2019.75
2019,Q4,2019 Q4,East of England,Depression,684,6.3,91,2877,0.715,0.081,2019.75
2019,Q4,2019 Q4,East of England,Anxiety Disorders,632,3.8,65,2029,0.701,0.088,2019.75
2019,Q4,2019 Q4,East of England,Bipolar Disorder,175,6.7,20,455,0.757,0.067,2019.75
2019,Q4,2019 Q4,East of England,Schizophrenia/Psychosis,136,5.9,16,704,0.757,0.083,2019.75
2019,Q4,2019 Q4,East of England,PTSD,244,6.5,30,947,0.692,0.086,2019.75
2019,Q4,2019 Q4,East of England,Eating Disorders,155,4.1,19,577,0.77,0.062,2019.75
2019,Q4,2019 Q4,East of England,Personality Disorders,227,8.5,29,753,0.727,0.09,2019.75
2019,Q4,2019 Q4,East of England,ADHD,335,1.8,42,862,0.751,0.09,2019.75
2020,Q1,2020 Q1,London,Depression,1455,9.7,154,3989,0.706,0.078,2020.0
2020,Q1,2020 Q1,London,Anxiety Disorders,1157,3.3,146,2168,0.691,0.096,2020.0
2020,Q1,2020 Q1,London,Bipolar Disorder,332,3.3,34,788,0.712,0.105,2020.0
2020,Q1,2020 Q1,London,Schizophrenia/Psychosis,252,1.0,33,743,0.704,0.097,2020.0
2020,Q1,2020 Q1,London,PTSD,458,3.6,53,834,0.71,0.099,2020.0
2020,Q1,2020 Q1,London,Eating Disorders,302,8.2,38,1238,0.748,0.079,2020.0
2020,Q1,2020 Q1,London,Personality Disorders,377,5.9,51,1587,0.658,0.115,2020.0
2020,Q1,2020 Q1,London,ADHD,581,6.4,64,1305,0.68,0.09,2020.0
2020,Q1,2020 Q1,South East,Depression,993,1.7,123,3834,0.724,0.089,2020.0
2020,Q1,2020 Q1,South East,Anxiety Disorders,800,6.2,101,2699,0.67,0.099,2020.0
2020,Q1,2020 Q1,South East,Bipolar Disorder,244,6.9,27,553,0.748,0.097,2020.0
2020,Q1,2020 Q1,South East,Schizophrenia/Psychosis,177,5.1,22,627,0.747,0.102,2020.0
2020,Q1,2020 Q1,South East,PTSD,355,5.8,38,1185,0.713,0.094,2020.0
2020,Q1,2020 Q1,South East,Eating Disorders,214,5.8,23,782,0.73,0.089,2020.0
2020,Q1,2020 Q1,South East,Personality Disorders,284,11.0,29,619,0.714,0.096,2020.0
2020,Q1,2020 Q1,South East,ADHD,411,7.8,54,1194,0.674,0.082,2020.0
2020,Q1,2020 Q1,South West,Depression,583,9.1,70,2869,0.675,0.094,2020.0
2020,Q1,2020 Q1,South West,Anxiety Disorders,549,6.8,58,1623,0.722,0.094,2020.0
2020,Q1,2020 Q1,South West,Bipolar Disorder,156,8.4,21,773,0.665,0.082,2020.0
2020,Q1,2020 Q1,South West,Schizophrenia/Psychosis,116,1.9,12,390,0.661,0.114,2020.0
2020,Q1,2020 Q1,South West,PTSD,214,3.2,24,535,0.659,0.099,2020.0
2020,Q1,2020 Q1,South West,Eating Disorders,125,4.4,15,504,0.74,0.104,2020.0
2020,Q1,2020 Q1,South West,Personality Disorders,181,3.1,22,398,0.751,0.104,2020.0
2020,Q1,2020 Q1,South West,ADHD,273,5.3,28,1170,0.708,0.116,2020.0
2020,Q1,2020 Q1,Midlands,Depression,1078,3.5,130,4294,0.662,0.096,2020.0
2020,Q1,2020 Q1,Midlands,Anxiety Disorders,1014,9.3,132,2413,0.745,0.087,2020.0
2020,Q1,2020 Q1,Midlands,Bipolar Disorder,279,6.2,36,1232,0.704,0.103,2020.0
2020,Q1,2020 Q1,Midlands,Schizophrenia/Psychosis,189,4.7,24,741,0.73,0.106,2020.0
2020,Q1,2020 Q1,Midlands,PTSD,375,3.3,43,897,0.661,0.115,2020.0
2020,Q1,2020 Q1,Midlands,Eating Disorders,245,3.9,28,425,0.712,0.099,2020.0
2020,Q1,2020 Q1,Midlands,Personality Disorders,346,6.6,45,1259,0.673,0.115,2020.0
2020,Q1,2020 Q1,Midlands,ADHD,457,4.9,61,2277,0.739,0.11,2020.0
2020,Q1,2020 Q1,North West,Depression,925,4.7,107,2793,0.669,0.106,2020.0
2020,Q1,2020 Q1,North West,Anxiety Disorders,739,6.1,97,2848,0.665,0.112,2020.0
2020,Q1,2020 Q1,North West,Bipolar Disorder,236,12.2,30,767,0.669,0.098,2020.0
2020,Q1,2020 Q1,North West,Schizophrenia/Psychosis,155,5.1,16,320,0.655,0.083,2020.0
2020,Q1,2020 Q1,North West,PTSD,339,7.3,39,1108,0.683,0.098,2020.0
2020,Q1,2020 Q1,North West,Eating Disorders,187,6.7,20,433,0.714,0.104,2020.0
2020,Q1,2020 Q1,North West,Personality Disorders,238,4.3,32,879,0.658,0.106,2020.0
2020,Q1,2020 Q1,North West,ADHD,408,4.6,43,1062,0.682,0.082,2020.0
2020,Q1,2020 Q1,North East & Yorkshire,Depression,846,6.0,116,2571,0.733,0.103,2020.0
2020,Q1,2020 Q1,North East & Yorkshire,Anxiety Disorders,681,7.2,79,3658,0.665,0.113,2020.0
2020,Q1,2020 Q1,North East & Yorkshire,Bipolar Disorder,203,4.7,23,428,0.735,0.107,2020.0
2020,Q1,2020 Q1,North East & Yorkshire,Schizophrenia/Psychosis,152,5.9,18,478,0.654,0.088,2020.0
2020,Q1,2020 Q1,North East & Yorkshire,PTSD,305,6.3,33,628,0.653,0.088,2020.0
2020,Q1,2020 Q1,North East & Yorkshire,Eating Disorders,189,3.5,23,638,0.697,0.112,2020.0
2020,Q1,2020 Q1,North East & Yorkshire,Personality Disorders,219,3.0,24,664,0.726,0.097,2020.0
2020,Q1,2020 Q1,North East & Yorkshire,ADHD,344,3.8,44,430,0.741,0.116,2020.0
2020,Q1,2020 Q1,East of England,Depression,528,8.9,62,1180,0.677,0.112,2020.0
2020,Q1,2020 Q1,East of England,Anxiety Disorders,401,5.8,50,1768,0.718,0.114,2020.0
2020,Q1,2020 Q1,East of England,Bipolar Disorder,129,4.4,15,440,0.667,0.107,2020.0
2020,Q1,2020 Q1,East of England,Schizophrenia/Psychosis,90,5.4,9,258,0.724,0.081,2020.0
